Date,Open,High,Low,Close,Volume
"Jan 9, 2024","67.46","68.93","67.21","68.31","2,178,200"
"Jan 8, 2024","67.20","68.96","66.78","68.39","2,341,300"
"Jan 5, 2024","66.53","68.03","66.47","66.96","1,959,500"
"Jan 4, 2024","67.00","67.54","66.40","66.90","1,962,100"
"Jan 3, 2024","68.31","68.49","67.11","67.17","2,493,500"
"Jan 2, 2024","71.10","71.45","69.00","69.15","2,869,400"
"Dec 29, 2023","72.98","73.60","71.81","71.91","2,431,500"
"Dec 28, 2023","73.77","74.00","72.92","73.09","2,330,200"
"Dec 27, 2023","74.30","74.77","73.16","73.73","2,392,300"
"Dec 26, 2023","72.61","74.35","72.37","74.21","2,939,900"
"Dec 22, 2023","72.12","72.84","71.67","72.50","2,386,900"
"Dec 21, 2023","70.58","72.04","70.26","71.90","3,798,700"
"Dec 20, 2023","71.33","71.78","69.85","69.86","3,512,700"
"Dec 19, 2023","71.57","72.79","71.40","72.42","3,014,000"
"Dec 18, 2023","70.86","72.64","70.82","71.36","2,967,400"
"Dec 15, 2023","72.25","72.46","70.96","71.57","19,859,000"
"Dec 14, 2023","72.12","73.94","71.51","72.14","5,929,600"
"Dec 13, 2023","71.31","71.35","68.85","71.22","4,510,700"
"Dec 12, 2023","71.98","72.17","71.03","71.28","4,712,800"
"Dec 11, 2023","71.82","73.74","70.95","72.58","6,531,300"
"Dec 8, 2023","71.70","73.96","71.17","73.06","5,031,100"
"Dec 7, 2023","71.00","72.04","70.63","71.93","4,312,500"
"Dec 6, 2023","69.58","71.44","68.75","70.94","4,731,900"
"Dec 5, 2023","67.91","69.26","67.09","68.72","3,753,100"
"Dec 4, 2023","69.80","70.26","65.60","68.16","8,401,100"
"Dec 1, 2023","67.76","70.46","67.58","70.29","4,485,400"
"Nov 30, 2023","68.39","68.68","67.25","67.83","3,923,800"
"Nov 29, 2023","68.43","69.09","67.86","67.95","3,554,600"
"Nov 28, 2023","65.29","67.64","64.91","67.53","5,131,900"
"Nov 27, 2023","64.39","65.73","64.06","65.55","3,830,000"
"Nov 24, 2023","64.03","64.98","63.82","64.53","1,842,300"
"Nov 22, 2023","66.05","66.53","63.77","63.83","5,094,700"
"Nov 21, 2023","63.66","66.55","61.83","65.94","13,812,400"
"Nov 20, 2023","64.59","66.08","64.48","66.00","10,633,100"
"Nov 17, 2023","64.43","64.76","63.57","64.12","4,208,900"
"Nov 16, 2023","63.29","63.98","63.10","63.40","2,441,100"
"Nov 15, 2023","63.16","65.40","63.15","63.74","3,720,400"
"Nov 14, 2023","63.00","64.05","62.07","62.77","4,447,000"
"Nov 13, 2023","61.96","62.44","61.32","61.54","2,258,500"
"Nov 10, 2023","60.67","62.22","60.24","62.06","2,672,700"
"Nov 9, 2023","61.98","62.00","60.62","60.65","2,581,500"
"Nov 8, 2023","62.42","62.69","61.50","61.83","1,993,800"
"Nov 7, 2023","62.46","63.21","61.99","62.69","2,375,300"
"Nov 6, 2023","63.14","63.31","61.23","61.82","3,058,100"
"Nov 3, 2023","61.98","63.31","61.76","62.99","3,147,800"
"Nov 2, 2023","61.00","61.70","60.35","61.28","3,031,300"
"Nov 1, 2023","60.00","60.36","59.35","60.03","2,108,000"
"Oct 31, 2023","60.22","60.43","59.49","59.98","1,734,600"
"Oct 30, 2023","59.57","60.52","59.00","60.00","2,174,500"
"Oct 27, 2023","59.96","60.14","59.00","59.29","1,818,300"
"Oct 26, 2023","60.45","60.97","58.87","59.50","2,493,400"
"Oct 25, 2023","61.40","61.78","60.27","60.35","3,097,600"
"Oct 24, 2023","61.49","62.87","61.49","62.14","2,419,900"
"Oct 23, 2023","61.10","62.04","60.90","61.13","2,046,200"
"Oct 20, 2023","62.42","62.65","61.41","61.71","2,488,000"
"Oct 19, 2023","63.43","63.97","62.12","62.36","1,651,400"
"Oct 18, 2023","63.32","63.81","62.79","62.97","1,951,500"
"Oct 17, 2023","62.68","64.92","62.65","63.84","3,031,800"
"Oct 16, 2023","63.06","63.59","62.44","63.18","2,379,000"
"Oct 13, 2023","63.42","63.70","62.15","62.75","2,809,800"
"Oct 12, 2023","64.93","64.93","62.67","63.47","3,069,800"
"Oct 11, 2023","67.43","67.59","64.78","64.82","3,142,900"
"Oct 10, 2023","66.00","67.89","65.86","67.28","2,416,200"
"Oct 9, 2023","63.97","66.13","63.53","66.10","3,389,100"
"Oct 6, 2023","63.68","65.80","63.68","65.48","3,237,400"
"Oct 5, 2023","65.95","66.06","64.15","64.52","3,951,300"
"Oct 4, 2023","68.68","68.88","65.52","66.06","4,689,500"
"Oct 3, 2023","69.58","70.25","67.68","68.04","3,258,400"
"Oct 2, 2023","69.93","71.38","69.47","70.11","2,458,800"
"Sep 29, 2023","69.13","71.08","69.12","69.94","2,824,700"
"Sep 28, 2023","67.00","68.57","66.41","68.33","1,829,000"
"Sep 27, 2023","68.94","68.96","66.51","67.32","2,617,700"
"Sep 26, 2023","68.19","69.16","68.03","68.30","2,262,400"
"Sep 25, 2023","68.25","69.16","68.20","68.65","1,853,600"
"Sep 22, 2023","68.50","69.73","68.40","68.85","2,496,500"
"Sep 21, 2023","68.00","68.90","67.86","68.31","3,413,900"
"Sep 20, 2023","69.50","70.05","68.77","68.80","2,213,800"
"Sep 19, 2023","70.12","70.55","68.64","69.34","2,399,000"
"Sep 18, 2023","70.81","71.12","69.78","70.63","1,958,700"
"Sep 15, 2023","71.57","72.45","70.65","71.11","6,239,300"
"Sep 14, 2023","70.03","71.88","70.00","71.57","3,201,400"
"Sep 13, 2023","70.02","70.35","68.81","69.84","3,349,000"
"Sep 12, 2023","70.69","71.78","70.25","70.27","2,880,400"
"Sep 11, 2023","71.58","72.91","71.13","71.78","4,245,300"
"Sep 8, 2023","73.68","73.80","71.64","72.06","3,882,800"
"Sep 7, 2023","73.19","74.82","72.34","73.68","3,948,300"
"Sep 6, 2023","73.00","74.08","72.60","74.00","3,579,900"
"Sep 5, 2023","70.98","75.90","70.72","73.28","9,151,400"
"Sep 1, 2023","71.79","72.42","71.43","71.72","4,025,200"
"Aug 31, 2023","69.16","72.55","68.79","71.03","6,456,800"
"Aug 30, 2023","68.54","69.27","67.91","68.67","2,080,600"
"Aug 29, 2023","67.41","68.92","66.86","68.81","2,446,200"
"Aug 28, 2023","68.23","68.56","67.19","67.57","1,841,300"
"Aug 25, 2023","66.67","67.96","66.51","67.70","2,454,200"
"Aug 24, 2023","69.18","69.19","66.94","66.95","2,956,400"
"Aug 23, 2023","66.25","69.54","66.15","68.17","7,339,600"
"Aug 22, 2023","67.18","67.37","63.58","65.83","13,075,600"
"Aug 21, 2023","66.55","67.94","66.50","67.27","9,917,400"
"Aug 18, 2023","64.45","66.82","64.33","66.29","3,216,000"
"Aug 17, 2023","65.24","66.34","65.18","65.36","2,315,600"
"Aug 16, 2023","65.73","66.71","65.36","65.38","2,080,800"
"Aug 15, 2023","67.00","67.41","65.95","66.06","2,567,500"
"Aug 14, 2023","66.20","67.56","65.59","67.55","2,202,300"
"Aug 11, 2023","66.55","67.25","66.23","66.60","1,508,400"
"Aug 10, 2023","67.81","68.79","66.97","67.47","1,976,400"
"Aug 9, 2023","67.51","67.61","66.15","66.55","2,142,900"
"Aug 8, 2023","67.47","67.92","65.71","67.55","3,562,000"
"Aug 7, 2023","69.09","69.19","67.63","68.66","2,459,000"
"Aug 4, 2023","70.30","70.95","69.04","69.06","3,078,100"
"Aug 3, 2023","69.10","70.62","69.05","69.89","1,945,000"
"Aug 2, 2023","71.52","71.52","69.68","69.89","3,067,000"
"Aug 1, 2023","72.93","73.04","71.87","72.91","2,064,400"
"Jul 31, 2023","73.28","74.19","72.86","73.35","3,002,000"
"Jul 28, 2023","73.35","74.55","72.85","73.08","2,742,200"
"Jul 27, 2023","72.18","74.55","71.99","72.39","3,944,100"
"Jul 26, 2023","69.00","71.37","68.54","71.10","2,885,300"
"Jul 25, 2023","69.95","70.61","69.28","69.33","2,341,000"
"Jul 24, 2023","71.00","71.60","69.27","69.51","2,884,400"
"Jul 21, 2023","70.43","71.49","70.04","71.03","5,676,900"
"Jul 20, 2023","72.67","73.35","69.79","69.80","3,118,100"
"Jul 19, 2023","72.90","75.10","72.66","73.92","4,190,700"
"Jul 18, 2023","73.03","73.88","71.31","72.28","4,006,200"
"Jul 17, 2023","70.44","73.46","70.05","72.84","4,514,600"
"Jul 14, 2023","71.50","71.99","70.19","70.59","3,856,400"
"Jul 13, 2023","70.29","71.45","69.20","71.24","3,309,000"
"Jul 12, 2023","70.25","70.95","68.94","69.80","3,062,600"
"Jul 11, 2023","67.74","69.89","67.66","69.74","3,459,000"
"Jul 10, 2023","64.70","67.66","64.60","67.62","3,439,400"
"Jul 7, 2023","64.74","66.22","64.55","65.67","2,190,200"
"Jul 6, 2023","66.37","66.59","64.33","64.69","3,178,300"
"Jul 5, 2023","67.82","68.35","67.18","67.65","2,228,300"
"Jul 3, 2023","67.73","69.32","67.73","68.29","1,623,100"
"Jun 30, 2023","68.53","68.56","67.63","67.88","2,057,100"
"Jun 29, 2023","68.55","68.55","67.15","67.60","2,572,000"
"Jun 28, 2023","67.97","69.06","67.54","68.69","2,466,800"
"Jun 27, 2023","67.03","68.34","66.62","68.05","2,866,700"
"Jun 26, 2023","66.54","67.86","66.41","66.62","2,457,100"
"Jun 23, 2023","66.48","67.49","65.76","66.62","5,301,300"
"Jun 22, 2023","66.59","67.48","65.61","67.45","2,319,700"
"Jun 21, 2023","70.51","71.00","66.85","66.93","4,120,000"
"Jun 20, 2023","69.21","71.49","69.06","70.56","4,056,000"
"Jun 16, 2023","70.12","70.47","69.01","70.06","4,804,900"
"Jun 15, 2023","67.74","70.35","67.66","69.94","3,164,200"
"Jun 14, 2023","68.43","69.08","66.94","68.40","3,658,800"
"Jun 13, 2023","69.43","69.89","68.42","68.82","4,048,000"
"Jun 12, 2023","67.14","70.35","66.66","69.18","5,276,200"
"Jun 9, 2023","68.05","68.84","66.60","67.14","4,058,900"
"Jun 8, 2023","66.50","67.17","65.92","66.74","2,889,300"
"Jun 7, 2023","69.98","70.83","66.07","66.50","5,368,900"
"Jun 6, 2023","68.44","69.70","68.04","69.50","3,752,500"
"Jun 5, 2023","66.75","69.68","65.00","69.02","8,417,400"
"Jun 2, 2023","68.76","69.09","67.03","67.09","3,737,900"
"Jun 1, 2023","66.17","68.73","66.07","67.83","3,369,000"
"May 31, 2023","65.36","67.35","65.06","67.13","5,525,800"
"May 30, 2023","67.00","67.26","63.93","65.68","4,622,300"
"May 26, 2023","65.43","68.48","65.15","66.27","5,949,600"
"May 25, 2023","62.45","65.55","61.56","65.12","6,533,200"
"May 24, 2023","64.90","66.45","62.35","62.63","7,582,600"
"May 23, 2023","69.00","69.10","65.18","65.65","16,952,700"
"May 22, 2023","69.35","71.99","68.85","71.41","9,631,800"
"May 19, 2023","69.17","70.12","68.77","69.37","3,835,900"
"May 18, 2023","67.83","69.67","67.63","69.53","3,934,600"
"May 17, 2023","66.09","67.95","64.91","67.85","4,060,200"
"May 16, 2023","65.86","66.59","65.52","65.99","2,829,500"
"May 15, 2023","63.40","66.05","63.30","66.03","3,559,800"
"May 12, 2023","64.41","64.41","63.29","63.69","2,652,900"
"May 11, 2023","64.73","65.05","63.72","64.45","2,344,200"
"May 10, 2023","64.14","65.67","64.05","64.43","3,533,400"
"May 9, 2023","62.26","64.55","62.21","63.56","4,133,900"
"May 8, 2023","63.45","63.95","62.50","62.93","2,791,200"
"May 5, 2023","63.13","64.08","62.85","63.40","3,191,500"
"May 4, 2023","60.53","63.10","60.53","62.22","3,800,600"
"May 3, 2023","61.43","61.92","60.48","60.82","3,585,500"
"May 2, 2023","61.37","62.02","60.87","61.19","3,202,700"
"May 1, 2023","61.40","61.94","61.05","61.68","2,687,700"
"Apr 28, 2023","61.29","61.96","60.45","61.43","4,256,300"
"Apr 27, 2023","62.04","62.40","61.19","61.29","3,853,200"
"Apr 26, 2023","64.16","64.48","60.91","61.43","4,203,300"
"Apr 25, 2023","65.01","65.18","63.02","63.05","4,299,200"
"Apr 24, 2023","63.91","67.67","62.61","65.80","12,934,600"
"Apr 21, 2023","65.50","65.77","63.77","63.98","4,619,400"
"Apr 20, 2023","66.76","67.43","65.63","65.70","3,399,900"
"Apr 19, 2023","66.50","68.36","66.38","67.75","2,903,400"
"Apr 18, 2023","68.30","68.45","67.05","67.27","2,548,900"
"Apr 17, 2023","68.00","69.20","67.50","67.62","7,925,800"
"Apr 14, 2023","69.57","70.10","68.70","69.50","3,706,900"
"Apr 13, 2023","67.74","70.89","67.74","70.18","3,255,100"
"Apr 12, 2023","71.17","71.53","67.46","67.49","2,906,500"
"Apr 11, 2023","68.87","70.80","68.25","70.00","4,037,300"
"Apr 10, 2023","71.18","71.33","69.66","71.17","2,137,000"
"Apr 6, 2023","70.71","72.10","69.56","71.85","2,074,400"
"Apr 5, 2023","73.01","73.06","70.14","71.10","3,576,900"
"Apr 4, 2023","74.15","74.41","72.89","73.64","1,812,500"
"Apr 3, 2023","73.17","73.76","72.37","73.67","2,304,700"
"Mar 31, 2023","72.48","74.33","72.13","73.84","4,311,400"
"Mar 30, 2023","71.61","72.92","71.22","72.04","2,833,900"
"Mar 29, 2023","69.72","71.07","69.60","70.60","3,027,800"
"Mar 28, 2023","68.57","68.96","67.35","68.54","2,073,300"
"Mar 27, 2023","69.69","70.20","67.85","68.57","2,168,400"
"Mar 24, 2023","68.25","69.05","67.76","69.04","1,718,600"
"Mar 23, 2023","69.44","70.73","68.71","69.19","3,849,400"
"Mar 22, 2023","71.72","72.16","68.69","68.75","2,821,100"
"Mar 21, 2023","69.72","71.89","69.18","71.85","2,456,600"
"Mar 20, 2023","68.88","69.33","67.40","69.30","3,578,300"
"Mar 17, 2023","70.55","70.60","68.57","69.19","3,763,400"
"Mar 16, 2023","71.33","72.20","69.87","70.59","4,268,500"
"Mar 15, 2023","68.10","71.20","68.10","71.03","3,477,200"
"Mar 14, 2023","69.99","70.80","68.19","68.99","2,299,400"
"Mar 13, 2023","66.33","69.95","65.62","68.67","4,290,700"
"Mar 10, 2023","66.20","68.43","64.46","67.12","5,660,700"
"Mar 9, 2023","68.81","69.71","67.14","67.62","4,020,100"
"Mar 8, 2023","69.92","70.33","68.29","68.91","2,775,800"
"Mar 7, 2023","71.64","73.05","69.47","69.65","3,100,900"
"Mar 6, 2023","71.23","73.11","70.63","71.33","3,246,200"
"Mar 3, 2023","69.13","71.40","68.93","70.81","4,358,000"
"Mar 2, 2023","68.90","71.31","68.90","70.63","4,088,700"
"Mar 1, 2023","74.20","75.80","69.35","69.62","7,258,300"
"Feb 28, 2023","75.96","76.98","72.89","74.59","18,552,100"
"Feb 27, 2023","74.90","75.37","73.20","73.72","8,477,300"
"Feb 24, 2023","72.40","74.57","72.19","73.93","3,062,800"
"Feb 23, 2023","74.37","75.04","72.66","74.57","2,948,400"
"Feb 22, 2023","73.09","74.25","72.73","73.39","4,489,400"
"Feb 21, 2023","74.02","75.15","72.27","72.47","2,884,900"
"Feb 17, 2023","76.91","77.10","74.30","76.11","3,002,100"
"Feb 16, 2023","78.59","80.43","77.56","77.91","3,205,400"
"Feb 15, 2023","77.67","80.80","76.99","80.77","2,336,200"
"Feb 14, 2023","75.63","77.99","74.25","77.90","3,308,600"
"Feb 13, 2023","75.10","76.51","73.60","76.48","2,941,300"
"Feb 10, 2023","75.76","75.87","72.87","74.21","3,305,100"
"Feb 9, 2023","80.46","80.66","76.46","76.77","4,015,900"
"Feb 8, 2023","83.53","84.44","79.18","79.35","5,372,600"
"Feb 7, 2023","77.49","85.13","76.01","84.66","14,656,800"
"Feb 6, 2023","77.88","79.23","76.33","77.07","2,862,200"
"Feb 3, 2023","79.62","81.98","78.74","79.54","3,488,200"
"Feb 2, 2023","80.23","84.42","79.51","82.84","5,428,400"
"Feb 1, 2023","75.48","78.50","73.90","78.11","3,161,100"
"Jan 31, 2023","73.50","75.02","73.36","75.00","2,832,700"
"Jan 30, 2023","73.09","78.44","73.08","73.50","7,108,400"
"Jan 27, 2023","71.04","74.54","70.79","74.15","3,556,900"
"Jan 26, 2023","70.43","72.37","69.76","71.58","2,670,000"
"Jan 25, 2023","68.11","69.36","66.06","68.89","3,202,700"
"Jan 24, 2023","70.79","71.84","69.20","69.43","2,227,900"
"Jan 23, 2023","69.00","71.51","68.25","70.97","2,835,000"
"Jan 20, 2023","67.08","69.77","66.68","69.50","2,838,600"
"Jan 19, 2023","66.29","67.86","66.25","66.83","2,180,100"
"Jan 18, 2023","71.00","71.37","67.43","67.48","3,085,800"
"Jan 17, 2023","69.50","70.20","67.78","69.87","3,776,800"
"Jan 13, 2023","69.09","70.60","68.63","69.49","2,344,200"
"Jan 12, 2023","69.83","70.03","67.63","69.91","3,177,700"
"Jan 11, 2023","70.98","71.37","68.70","70.01","3,343,500"
"Jan 10, 2023","69.54","71.24","69.53","70.86","1,851,200"
"Jan 9, 2023","69.81","72.17","68.57","70.08","3,403,000"
"Jan 6, 2023","65.97","69.90","65.60","69.51","4,079,800"
"Jan 5, 2023","66.80","67.12","64.93","65.62","2,040,100"
"Jan 4, 2023","67.62","68.01","65.88","67.65","3,209,600"
"Jan 3, 2023","69.01","69.33","66.16","66.66","2,797,600"
"Dec 30, 2022","66.55","67.82","66.36","67.74","1,874,600"
"Dec 29, 2022","66.28","68.35","66.18","68.00","2,135,300"
"Dec 28, 2022","65.25","66.85","64.77","65.36","2,311,200"
"Dec 27, 2022","64.75","66.18","63.55","65.46","3,581,800"
"Dec 23, 2022","65.61","66.66","65.01","65.89","2,209,200"
"Dec 22, 2022","68.37","68.58","64.83","65.94","4,180,100"
"Dec 21, 2022","68.71","70.96","67.88","69.93","3,254,100"
"Dec 20, 2022","68.45","70.34","67.92","68.56","2,936,000"
"Dec 19, 2022","69.41","70.25","68.85","69.09","3,182,500"
"Dec 16, 2022","69.82","70.79","69.55","69.86","4,695,600"
"Dec 15, 2022","71.68","72.31","69.81","70.20","3,700,700"
"Dec 14, 2022","73.65","75.08","72.03","73.22","3,570,300"
"Dec 13, 2022","77.53","79.38","73.01","74.05","4,017,800"
"Dec 12, 2022","70.91","73.72","70.11","73.69","2,836,900"
"Dec 9, 2022","72.33","73.74","71.85","72.16","2,185,200"
"Dec 8, 2022","70.12","72.41","68.88","72.36","3,056,300"
"Dec 7, 2022","71.25","71.46","69.74","69.87","3,422,100"
"Dec 6, 2022","72.79","73.00","70.88","71.47","2,661,100"
"Dec 5, 2022","74.26","75.22","72.54","72.90","2,942,800"
"Dec 2, 2022","74.58","76.36","73.85","74.31","3,296,300"
"Dec 1, 2022","75.89","81.69","75.86","77.43","4,777,700"
"Nov 30, 2022","70.76","75.44","69.54","75.43","6,213,800"
"Nov 29, 2022","71.66","72.62","70.29","70.57","4,879,300"
"Nov 28, 2022","74.72","76.50","71.30","71.59","6,245,400"
"Nov 25, 2022","75.31","76.99","74.83","75.40","2,658,000"
"Nov 23, 2022","76.14","77.28","74.85","76.14","4,938,100"
"Nov 22, 2022","75.18","77.44","71.90","77.15","15,729,400"
"Nov 21, 2022","81.21","82.52","79.77","80.26","7,234,000"
"Nov 18, 2022","83.34","83.61","80.14","81.64","3,125,300"
"Nov 17, 2022","81.20","83.21","80.34","82.59","2,284,100"
"Nov 16, 2022","85.06","85.23","83.13","83.50","2,709,400"
"Nov 15, 2022","88.25","89.37","85.72","87.44","2,776,500"
"Nov 14, 2022","86.72","87.99","84.21","84.35","2,883,600"
"Nov 11, 2022","81.46","89.67","80.05","88.32","5,906,400"
"Nov 10, 2022","76.87","82.35","76.75","82.23","4,908,600"
"Nov 9, 2022","77.53","77.53","70.92","71.84","6,019,800"
"Nov 8, 2022","80.22","81.93","78.01","78.31","3,987,100"
"Nov 7, 2022","78.07","80.32","77.26","79.61","3,317,800"
"Nov 4, 2022","79.44","79.74","75.83","77.46","3,969,300"
"Nov 3, 2022","77.80","81.23","77.23","78.39","3,156,400"
"Nov 2, 2022","83.28","84.36","78.59","78.60","3,381,000"
"Nov 1, 2022","85.50","86.31","82.79","82.89","1,834,900"
"Oct 31, 2022","83.69","84.57","82.34","83.44","1,908,600"
"Oct 28, 2022","81.74","84.25","81.32","84.21","2,370,800"
"Oct 27, 2022","83.68","85.03","82.47","82.61","2,579,400"
"Oct 26, 2022","82.35","85.46","82.19","83.37","2,599,700"
"Oct 25, 2022","81.54","84.13","81.46","84.09","2,992,300"
"Oct 24, 2022","80.40","80.66","78.18","80.61","2,731,600"
"Oct 21, 2022","79.64","81.10","77.60","80.98","3,312,100"
"Oct 20, 2022","76.67","81.50","76.58","79.96","4,156,900"
"Oct 19, 2022","77.52","78.04","75.59","76.33","1,955,800"
"Oct 18, 2022","79.52","80.78","77.33","78.23","3,539,400"
"Oct 17, 2022","75.06","77.43","74.51","76.69","3,431,600"
"Oct 14, 2022","75.75","76.90","72.14","72.29","2,830,800"
"Oct 13, 2022","71.65","75.42","71.65","74.73","5,754,500"
"Oct 12, 2022","74.29","76.55","73.40","75.22","3,941,000"
"Oct 11, 2022","71.46","74.55","70.43","73.71","5,389,700"
"Oct 10, 2022","75.99","76.20","72.29","73.72","4,777,500"
"Oct 7, 2022","75.64","78.33","75.36","76.59","4,464,200"
"Oct 6, 2022","77.73","79.00","76.96","78.35","2,185,800"
"Oct 5, 2022","75.58","77.87","74.96","77.52","2,604,500"
"Oct 4, 2022","75.83","78.45","75.73","77.54","4,703,000"
"Oct 3, 2022","73.91","74.87","71.69","73.94","4,182,000"
"Sep 30, 2022","74.60","76.25","73.48","73.59","3,539,700"
"Sep 29, 2022","74.27","75.22","73.60","74.47","2,930,400"
"Sep 28, 2022","74.31","76.22","74.05","75.89","2,856,700"
"Sep 27, 2022","74.90","75.99","72.96","74.26","3,576,500"
"Sep 26, 2022","74.82","76.87","73.24","73.33","3,068,800"
"Sep 23, 2022","74.16","74.95","73.32","74.45","3,944,700"
"Sep 22, 2022","75.00","75.77","74.33","74.54","4,116,200"
"Sep 21, 2022","77.83","78.83","75.32","75.94","3,274,100"
"Sep 20, 2022","77.45","78.84","76.76","77.09","3,157,800"
"Sep 19, 2022","78.06","79.00","76.75","78.32","4,515,000"
"Sep 16, 2022","78.14","79.23","77.33","78.68","6,150,700"
"Sep 15, 2022","78.64","81.97","78.26","80.21","4,247,500"
"Sep 14, 2022","78.86","80.41","77.93","79.59","4,196,500"
"Sep 13, 2022","80.00","80.15","78.62","78.86","4,654,500"
"Sep 12, 2022","82.43","84.78","82.43","84.08","3,928,900"
"Sep 9, 2022","81.59","83.70","81.54","82.62","3,964,000"
"Sep 8, 2022","80.24","81.47","79.40","80.23","3,674,700"
"Sep 7, 2022","79.96","81.36","79.34","81.02","4,329,600"
"Sep 6, 2022","80.56","81.08","79.57","80.02","3,576,100"
"Sep 2, 2022","82.01","83.31","80.05","80.79","4,570,900"
"Sep 1, 2022","79.29","81.24","77.79","81.14","6,795,400"
"Aug 31, 2022","82.97","83.47","79.34","80.40","4,838,000"
"Aug 30, 2022","82.00","82.75","79.82","81.42","4,142,500"
"Aug 29, 2022","80.37","82.95","80.12","81.00","5,211,000"
"Aug 26, 2022","84.15","85.02","80.28","81.41","5,927,400"
"Aug 25, 2022","83.60","85.76","82.43","85.72","5,409,700"
"Aug 24, 2022","81.64","85.07","80.50","83.61","11,133,300"
"Aug 23, 2022","84.56","87.59","81.13","81.32","31,475,400"
"Aug 22, 2022","98.20","100.14","96.48","97.44","8,274,100"
"Aug 19, 2022","100.90","102.15","98.80","99.50","3,747,900"
"Aug 18, 2022","101.76","104.57","100.64","103.18","3,091,700"
"Aug 17, 2022","106.22","107.35","102.02","102.38","4,257,200"
"Aug 16, 2022","107.82","109.93","103.32","109.19","7,520,100"
"Aug 15, 2022","109.41","113.79","108.35","113.23","2,737,400"
"Aug 12, 2022","109.41","110.09","107.28","109.52","2,488,900"
"Aug 11, 2022","114.00","114.99","107.24","108.06","4,067,800"
"Aug 10, 2022","111.35","112.42","108.80","112.01","3,756,600"
"Aug 9, 2022","111.78","112.80","104.91","105.29","5,822,800"
"Aug 8, 2022","114.77","119.82","113.82","114.74","2,832,500"
"Aug 5, 2022","110.00","114.32","108.74","113.85","2,639,900"
"Aug 4, 2022","114.07","115.00","110.14","112.86","2,149,800"
"Aug 3, 2022","109.31","114.00","109.22","112.97","2,653,500"
"Aug 2, 2022","103.04","109.98","102.90","108.16","2,519,900"
"Aug 1, 2022","103.38","107.92","101.85","105.39","2,386,200"
"Jul 29, 2022","105.49","105.49","101.01","103.86","3,975,900"
"Jul 28, 2022","104.46","106.90","100.81","106.22","2,380,000"
"Jul 27, 2022","102.16","106.46","100.55","105.91","3,182,800"
"Jul 26, 2022","105.03","105.13","100.01","100.33","2,878,200"
"Jul 25, 2022","106.39","106.96","103.91","106.10","2,039,800"
"Jul 22, 2022","111.00","112.95","105.69","106.55","2,656,800"
"Jul 21, 2022","107.50","111.27","107.30","110.85","2,982,100"
"Jul 20, 2022","103.49","109.87","103.38","107.09","4,298,100"
"Jul 19, 2022","100.40","102.22","97.65","102.08","2,829,500"
"Jul 18, 2022","101.98","102.18","98.49","98.92","6,516,500"
"Jul 15, 2022","97.86","99.97","96.11","99.85","4,714,400"
"Jul 14, 2022","101.35","101.44","96.84","97.35","5,552,600"
"Jul 13, 2022","103.64","105.40","99.80","101.01","7,903,000"
"Jul 12, 2022","109.79","113.60","106.91","107.99","4,205,100"
"Jul 11, 2022","117.16","117.54","107.73","108.38","5,461,800"
"Jul 8, 2022","118.62","124.05","117.66","119.80","3,261,700"
"Jul 7, 2022","116.50","121.26","116.33","120.74","3,036,600"
"Jul 6, 2022","120.68","123.96","116.57","117.06","4,198,100"
"Jul 5, 2022","110.56","120.75","108.41","120.42","5,310,000"
"Jul 1, 2022","108.77","111.98","106.83","110.97","2,800,300"
"Jun 30, 2022","110.00","111.00","104.78","107.97","4,249,600"
"Jun 29, 2022","112.93","113.72","110.04","111.87","2,711,800"
"Jun 28, 2022","119.82","122.08","112.86","113.13","3,692,500"
"Jun 27, 2022","122.48","123.73","117.68","119.82","3,457,200"
"Jun 24, 2022","118.81","122.99","118.12","122.64","12,212,800"
"Jun 23, 2022","116.24","118.40","110.67","117.67","5,464,400"
"Jun 22, 2022","112.03","119.53","111.77","115.17","5,481,800"
"Jun 21, 2022","112.15","117.37","110.86","113.82","6,176,200"
"Jun 17, 2022","107.10","111.92","106.39","110.00","6,143,400"
"Jun 16, 2022","108.10","109.65","104.15","106.09","4,714,600"
"Jun 15, 2022","107.50","114.73","106.13","112.93","5,954,500"
"Jun 14, 2022","103.90","109.85","103.78","106.86","6,815,000"
"Jun 13, 2022","102.82","106.38","102.12","103.32","7,183,900"
"Jun 10, 2022","106.93","110.99","106.12","109.07","5,768,900"
"Jun 9, 2022","112.17","116.17","110.34","110.40","4,302,600"
"Jun 8, 2022","115.40","116.90","113.16","115.46","3,583,900"
"Jun 7, 2022","110.50","115.32","109.05","115.04","3,951,900"
"Jun 6, 2022","112.33","112.91","108.51","111.01","2,867,500"
"Jun 3, 2022","109.66","111.80","107.30","109.42","3,882,100"
"Jun 2, 2022","107.43","114.08","107.03","112.24","4,985,900"
"Jun 1, 2022","107.96","110.89","104.92","107.65","4,700,800"
"May 31, 2022","112.64","112.87","105.58","107.45","5,930,200"
"May 27, 2022","108.00","111.24","105.55","110.42","7,097,100"
"May 26, 2022","101.89","108.17","101.77","107.00","10,633,600"
"May 25, 2022","94.14","104.27","94.00","102.34","13,892,000"
"May 24, 2022","94.56","97.09","87.33","94.34","27,414,900"
"May 23, 2022","89.87","90.25","85.57","89.33","11,240,300"
"May 20, 2022","92.62","94.85","85.55","89.74","4,741,400"
"May 19, 2022","85.74","93.49","84.68","90.94","4,746,900"
"May 18, 2022","88.68","91.11","84.04","84.69","3,854,200"
